team,where,date,round,season,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Nice,home,2023-08-11,1,2023-2024,Terem Moffi,9,NGA,FW,24-078,80,0,1,0,0,1,0,0,0,24,0,0,0,0.5,0.5,0.4,2,1,11,15,73.3,2,19,1,4,1,156,44,5,5,100.0,6,8,75.0,0,0,,0.0,1,1,1,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,1,15,8,4,24,25.0,3,75.0,122,37,1,0,4,1,16,4,0,1,0,0,0,0,0,2,1,1,50.0
Nice,home,2023-08-11,1,2023-2024,Hicham Boudaoui,28,ALG,FW,23-322,10,0,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,1,0,8,10,80.0,1,9,1,0,0,115,45,4,5,80.0,4,4,100.0,0,1,0.0,0.0,0,1,0,0,8,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,5,4,1,12,,0,,75,37,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,1,0.0
Nice,home,2023-08-11,1,2023-2024,Jeremie Boga,7,CIV,LW,26-220,56,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,2,0,13,15,86.7,0,19,2,2,2,188,8,7,8,87.5,6,6,100.0,0,0,,0.0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,3,33.3,2,0,0,1,0,0,0,5,11,6,3,22,100.0,0,0.0,186,65,1,2,1,3,18,1,0,0,2,2,0,0,0,2,0,1,0.0
Nice,home,2023-08-11,1,2023-2024,Sofiane Diop,10,FRA,LW,23-063,34,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,1,0,10,13,76.9,0,15,1,2,1,160,59,4,5,80.0,5,6,83.3,0,1,0.0,0.1,1,0,1,1,13,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,4,50.0,2,0,0,2,1,0,2,8,8,4,0,19,50.0,1,50.0,131,49,1,0,1,0,12,2,0,0,0,1,0,0,0,3,0,0,
Nice,home,2023-08-11,1,2023-2024,Gaëtan Laborde,24,FRA,RW,29-100,57,1,0,0,0,2,2,1,0,21,0,0,0,0.5,0.5,0.0,1,0,9,16,56.3,1,18,4,5,3,133,42,3,4,75.0,5,10,50.0,0,0,,0.0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,11,7,3,21,60.0,2,40.0,141,81,2,3,0,1,14,3,0,1,0,1,0,0,0,4,0,1,0.0
Nice,home,2023-08-11,1,2023-2024,Evann Guessand,29,CIV,RW,22-041,33,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,6,9,66.7,2,10,3,1,1,112,28,1,1,100.0,5,8,62.5,0,0,,0.0,1,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4,9,1,13,100.0,0,0.0,132,89,2,1,2,1,10,2,0,1,0,0,0,0,0,1,1,0,100.0
Nice,home,2023-08-11,1,2023-2024,Khéphren Thuram,19,FRA,LM,22-138,56,0,0,0,0,0,0,1,0,29,4,1,1,0.0,0.0,0.6,4,1,15,19,78.9,2,20,3,6,3,206,36,9,11,81.8,6,7,85.7,0,0,,0.2,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,0,1,2,50.0,1,0,1,5,0,0,1,10,15,6,1,29,50.0,3,50.0,171,107,2,0,1,0,17,2,0,1,0,1,0,0,0,3,0,0,
Nice,home,2023-08-11,1,2023-2024,Pablo Rosario,8,NED,LM,26-216,34,0,0,0,0,1,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,11,15,73.3,1,14,0,0,0,191,41,4,5,80.0,7,9,77.8,0,1,0.0,0.0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,1,0,0,0,3,12,4,1,19,,0,,63,16,0,0,1,1,16,1,0,0,0,0,0,0,0,2,1,0,100.0
Nice,home,2023-08-11,1,2023-2024,Youssouf Ndayishimiye,55,BDI,CM,24-288,90,0,0,0,0,0,0,0,0,37,1,1,1,0.0,0.0,0.0,0,0,26,30,86.7,1,27,0,0,0,399,89,11,11,100.0,12,14,85.7,1,2,50.0,0.0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,1,0,2,4,0,7,24,13,1,0,37,,0,,153,36,0,0,0,2,22,0,0,1,2,0,0,0,0,6,2,1,66.7
Nice,home,2023-08-11,1,2023-2024,Morgan Sanson,11,FRA,RM,28-358,90,0,0,0,0,2,0,0,0,36,0,2,0,0.1,0.1,0.0,2,0,22,26,84.6,3,31,4,5,4,448,139,7,7,100.0,11,13,84.6,3,5,60.0,0.0,1,1,0,0,24,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0.0,2,0,0,2,0,0,1,14,16,6,1,36,80.0,1,20.0,181,86,1,1,1,2,23,0,0,1,2,0,0,0,0,9,0,1,0.0
